date,tournament,surface,round,winner,loser,b365_winner_odds,b365_loser_odds,model_winner_prob,model_winner_odds,model_loser_odds,model_pick,model_pick_prob,model_pick_odds,b365_pick_odds,clv_pick,model_correct,pick_won
2025-01-07,Hobart International,Hard,1st Round,Linette M.,Gracheva V.,1.33,3.4,0.556,1.7985611510791366,2.2522522522522523,Linette M.,0.556,1.7985611510791366,1.33,-19.587969924812022,True,True
2025-01-07,Hobart International,Hard,1st Round,Zarazua R.,Bronzetti L.,1.8,2.0,0.621,1.6103059581320451,2.638522427440633,Zarazua R.,0.621,1.6103059581320451,1.8,6.544444444444442,True,True
2025-01-07,Hobart International,Hard,1st Round,Anisimova A.,Saville D.,1.25,4.0,0.799,1.2515644555694618,4.975124378109452,Anisimova A.,0.799,1.2515644555694618,1.25,-0.10000000000000009,True,True
2025-01-08,Hobart International,Hard,2nd Round,Kenin S.,Blinkova A.,1.62,2.3,0.574,1.7421602787456447,2.347417840375587,Kenin S.,0.574,1.7421602787456447,1.62,-4.328395061728396,True,True
2025-01-08,Hobart International,Hard,2nd Round,Joint M.,Linette M.,1.91,1.91,0.461,2.1691973969631237,1.8552875695732838,Linette M.,0.539,1.8552875695732838,1.91,1.5439790575916268,False,False
2025-01-08,Hobart International,Hard,2nd Round,Avanesyan E.,Minnen G.,1.57,2.38,0.467,2.141327623126338,1.8761726078799252,Minnen G.,0.5329999999999999,1.8761726078799252,2.38,11.283193277310916,False,False
2025-01-08,Hobart International,Hard,2nd Round,Yastremska D.,Li A.,2.5,1.53,0.455,2.1978021978021975,1.8348623853211008,Li A.,0.545,1.8348623853211008,1.53,-10.859477124183003,False,False
2025-01-08,Hobart International,Hard,2nd Round,Anisimova A.,Bondar A.,1.2,4.5,0.743,1.3458950201884252,3.8910505836575875,Anisimova A.,0.743,1.3458950201884252,1.2,-9.033333333333339,True,True
2025-01-08,Hobart International,Hard,2nd Round,Mertens E.,Zarazua R.,1.36,3.2,0.5770000000000001,1.7331022530329288,2.3640661938534278,Mertens E.,0.5770000000000001,1.7331022530329288,1.36,-15.82941176470587,True,True
2025-01-09,Hobart International,Hard,Quarterfinals,Kessler M.,Yastremska D.,1.67,2.2,0.585,1.7094017094017095,2.4096385542168677,Kessler M.,0.585,1.7094017094017095,1.67,-1.380239520958093,True,True
2025-01-09,Hobart International,Hard,Quarterfinals,Joint M.,Kenin S.,2.1,1.73,0.508,1.968503937007874,2.0325203252032518,Joint M.,0.508,1.968503937007874,2.1,3.1809523809523843,True,True
2025-01-09,Hobart International,Hard,Quarterfinals,Mertens E.,Kudermetova V.,1.73,2.1,0.545,1.8348623853211008,2.1978021978021975,Mertens E.,0.545,1.8348623853211008,1.73,-3.303468208092486,True,True
2025-01-10,Hobart International,Hard,Semifinals,Kessler M.,Avanesyan E.,2.1,1.73,0.652,1.5337423312883436,2.873563218390805,Kessler M.,0.652,1.5337423312883436,2.1,17.580952380952386,True,True
2025-01-10,Hobart International,Hard,Semifinals,Mertens E.,Joint M.,1.73,2.1,0.644,1.5527950310559007,2.8089887640449436,Mertens E.,0.644,1.5527950310559007,1.73,6.596531791907512,True,True
2025-01-11,Hobart International,Hard,The Final,Kessler M.,Mertens E.,2.63,1.5,0.46799999999999997,2.1367521367521367,1.8796992481203008,Mertens E.,0.532,1.8796992481203008,1.5,-13.46666666666666,False,False
2025-01-12,Australian Open,Hard,1st Round,Andreeva M.,Bouzkova M.,1.29,3.75,0.695,1.4388489208633095,3.278688524590164,Andreeva M.,0.695,1.4388489208633095,1.29,-8.01937984496124,True,True
2025-01-12,Australian Open,Hard,1st Round,Lamens S.,Erjavec V.,1.5,2.63,0.45899999999999996,2.178649237472767,1.8484288354898335,Erjavec V.,0.541,1.8484288354898335,2.63,16.077186311787074,False,False
2025-01-12,Australian Open,Hard,1st Round,Maria T.,Pera B.,2.75,1.44,0.491,2.0366598778004072,1.9646365422396856,Pera B.,0.509,1.9646365422396856,1.44,-18.54444444444444,False,False
2025-01-12,Australian Open,Hard,1st Round,Vekic D.,Parry D.,1.29,3.75,0.574,1.7421602787456447,2.347417840375587,Vekic D.,0.574,1.7421602787456447,1.29,-20.119379844961237,True,True
2025-01-12,Australian Open,Hard,1st Round,Tauson C.,Noskova L.,2.0,1.8,0.47600000000000003,2.1008403361344534,1.9083969465648853,Noskova L.,0.524,1.9083969465648853,1.8,-3.155555555555556,False,False
2025-01-12,Australian Open,Hard,1st Round,Bouzas Maneiro J.,Kartal S.,2.2,1.67,0.276,3.623188405797101,1.3812154696132595,Kartal S.,0.7240000000000001,1.3812154696132595,1.67,12.519760479041919,False,False
2025-01-12,Australian Open,Hard,1st Round,Blinkova A.,Saville D.,1.5,2.63,0.516,1.937984496124031,2.066115702479339,Blinkova A.,0.516,1.937984496124031,1.5,-15.066666666666661,True,True
2025-01-13,Australian Open,Hard,1st Round,Siegemund L.,Baptiste H.,2.1,1.73,0.475,2.1052631578947367,1.9047619047619047,Baptiste H.,0.525,1.9047619047619047,1.73,-5.303468208092488,False,False
2025-01-13,Australian Open,Hard,1st Round,Samsonova L.,Rakhimova K.,1.2,4.5,0.606,1.6501650165016502,2.5380710659898478,Samsonova L.,0.606,1.6501650165016502,1.2,-22.733333333333338,True,True
2025-01-13,Australian Open,Hard,1st Round,Danilovic O.,Rus A.,1.44,2.75,0.639,1.5649452269170578,2.770083102493075,Danilovic O.,0.639,1.5649452269170578,1.44,-5.544444444444441,True,True
2025-01-13,Australian Open,Hard,1st Round,Gibson T.,Sonmez Z.,2.63,1.5,0.5539999999999999,1.8050541516245489,2.242152466367713,Gibson T.,0.5539999999999999,1.8050541516245489,2.63,17.377186311787064,True,True
2025-01-13,Australian Open,Hard,1st Round,Sramkova R.,Volynets K.,2.1,1.73,0.446,2.242152466367713,1.8050541516245489,Volynets K.,0.5539999999999999,1.8050541516245489,1.73,-2.4034682080924963,False,False
2025-01-13,Australian Open,Hard,1st Round,Shnaider D.,Cocciaretto E.,1.17,5.0,0.5710000000000001,1.7513134851138352,2.331002331002331,Shnaider D.,0.5710000000000001,1.7513134851138352,1.17,-28.37008547008547,True,True
2025-01-13,Australian Open,Hard,1st Round,Uchijima M.,Linette M.,3.2,1.36,0.36700000000000005,2.7247956403269753,1.5797788309636651,Linette M.,0.633,1.5797788309636651,1.36,-10.229411764705876,False,False
2025-01-13,Australian Open,Hard,1st Round,Tomljanovic A.,Krueger A.,3.0,1.4,0.5429999999999999,1.841620626151013,2.1881838074398248,Tomljanovic A.,0.5429999999999999,1.841620626151013,3.0,20.96666666666666,True,True
2025-01-13,Australian Open,Hard,1st Round,Gauff C.,Kenin S.,1.05,11.0,0.672,1.488095238095238,3.0487804878048785,Gauff C.,0.672,1.488095238095238,1.05,-28.038095238095227,True,True
2025-01-13,Australian Open,Hard,1st Round,Frech M.,Kudermetova P.,2.3,1.62,0.59,1.6949152542372883,2.4390243902439024,Frech M.,0.59,1.6949152542372883,2.3,15.521739130434774,True,True
2025-01-13,Australian Open,Hard,1st Round,Svitolina E.,Cirstea S.,1.25,4.0,0.556,1.7985611510791366,2.2522522522522523,Svitolina E.,0.556,1.7985611510791366,1.25,-24.4,True,True
2025-01-13,Australian Open,Hard,1st Round,Bronzetti L.,Azarenka V.,3.75,1.29,0.34,2.941176470588235,1.5151515151515151,Azarenka V.,0.66,1.5151515151515151,1.29,-11.51937984496123,False,False
2025-01-13,Australian Open,Hard,1st Round,Dolehide C.,Bejlek S.,2.75,1.44,0.273,3.663003663003663,1.375515818431912,Bejlek S.,0.727,1.375515818431912,1.44,3.255555555555556,False,False
2025-01-13,Australian Open,Hard,1st Round,Swiatek I.,Siniakova K.,1.06,10.0,0.731,1.3679890560875514,3.7174721189591082,Swiatek I.,0.731,1.3679890560875514,1.06,-21.239622641509428,True,True
